"name","geo_place_name","geo_type_name","start_date","data_value"
"Boiler Emissions- Total SO2 Emissions","Southeast Queens","UHF42","2015-01-01","0.3"
"Boiler Emissions- Total SO2 Emissions","Bensonhurst - Bay Ridge","UHF42","2015-01-01","1.2"
"Boiler Emissions- Total SO2 Emissions","Coney Island - Sheepshead Bay","UHF42","2013-01-01","0.9"
"Boiler Emissions- Total SO2 Emissions","Bensonhurst - Bay Ridge","UHF42","2013-01-01","1.7"
"Boiler Emissions- Total SO2 Emissions","Rockaways","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Upper East Side","UHF42","2013-01-01","95"
"Boiler Emissions- Total SO2 Emissions","East Harlem","UHF42","2013-01-01","11.6"
"Boiler Emissions- Total SO2 Emissions","Fordham - Bronx Pk","UHF42","2013-01-01","24.5"
"Boiler Emissions- Total SO2 Emissions","Chelsea - Clinton","UHF42","2015-01-01","36.4"
"Boiler Emissions- Total SO2 Emissions","Downtown - Heights - Slope","UHF42","2015-01-01","1.2"
"Boiler Emissions- Total SO2 Emissions","Central Harlem - Morningside Heights","UHF42","2013-01-01","15.7"
"Boiler Emissions- Total SO2 Emissions","Northeast Bronx","UHF42","2013-01-01","2.2"
"Boiler Emissions- Total SO2 Emissions","East Flatbush - Flatbush","UHF42","2013-01-01","2.3"
"Boiler Emissions- Total SO2 Emissions","Brooklyn","Borough","2013-01-01","0.8"
"Boiler Emissions- Total SO2 Emissions","East Flatbush - Flatbush","UHF42","2015-01-01","1.7"
"Boiler Emissions- Total SO2 Emissions","Bronx","Borough","2015-01-01","6.3"
"Boiler Emissions- Total SO2 Emissions","Greenwich Village - SoHo","UHF42","2015-01-01","17.8"
"Boiler Emissions- Total SO2 Emissions","High Bridge - Morrisania","UHF42","2013-01-01","19.7"
"Boiler Emissions- Total SO2 Emissions","Manhattan","Borough","2015-01-01","26.8"
"Boiler Emissions- Total SO2 Emissions","Lower Manhattan","UHF42","2015-01-01","8.3"
"Boiler Emissions- Total SO2 Emissions","East New York","UHF42","2013-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Central Harlem - Morningside Heights","UHF42","2015-01-01","10.7"
"Boiler Emissions- Total SO2 Emissions","Crotona -Tremont","UHF42","2013-01-01","16.9"
"Boiler Emissions- Total SO2 Emissions","Sunset Park","UHF42","2013-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Williamsburg - Bushwick","UHF42","2015-01-01","0.3"
"Boiler Emissions- Total SO2 Emissions","Northeast Bronx","UHF42","2015-01-01","1.6"
"Boiler Emissions- Total SO2 Emissions","Fresh Meadows","UHF42","2015-01-01","3.1"
"Boiler Emissions- Total SO2 Emissions","Manhattan","Borough","2013-01-01","50.6"
"Boiler Emissions- Total SO2 Emissions","Upper East Side","UHF42","2015-01-01","39.4"
"Boiler Emissions- Total SO2 Emissions","Union Square - Lower East Side","UHF42","2015-01-01","14.1"
"Boiler Emissions- Total SO2 Emissions","Washington Heights","UHF42","2013-01-01","51"
"Boiler Emissions- Total SO2 Emissions","Kingsbridge - Riverdale","UHF42","2013-01-01","17.6"
"Boiler Emissions- Total SO2 Emissions","Kingsbridge - Riverdale","UHF42","2015-01-01","9.1"
"Boiler Emissions- Total SO2 Emissions","High Bridge - Morrisania","UHF42","2015-01-01","12.9"
"Boiler Emissions- Total SO2 Emissions","Greenwich Village - SoHo","UHF42","2013-01-01","32.9"
"Boiler Emissions- Total SO2 Emissions","Bedford Stuyvesant - Crown Heights","UHF42","2015-01-01","1"
"Boiler Emissions- Total SO2 Emissions","Sunset Park","UHF42","2015-01-01","0.5"
"Boiler Emissions- Total SO2 Emissions","Flushing - Clearview","UHF42","2015-01-01","3"
"Boiler Emissions- Total SO2 Emissions","Fordham - Bronx Pk","UHF42","2015-01-01","16.6"
"Boiler Emissions- Total SO2 Emissions","Gramercy Park - Murray Hill","UHF42","2013-01-01","78.8"
"Boiler Emissions- Total SO2 Emissions","Canarsie - Flatlands","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Southwest Queens","UHF42","2015-01-01","0.5"
"Boiler Emissions- Total SO2 Emissions","Brooklyn","Borough","2015-01-01","0.7"
"Boiler Emissions- Total SO2 Emissions","Hunts Point - Mott Haven","UHF42","2015-01-01","1.7"
"Boiler Emissions- Total SO2 Emissions","Upper West Side","UHF42","2013-01-01","99.7"
"Boiler Emissions- Total SO2 Emissions","Crotona -Tremont","UHF42","2015-01-01","8.8"
"Boiler Emissions- Total SO2 Emissions","Borough Park","UHF42","2015-01-01","1.1"
"Boiler Emissions- Total SO2 Emissions","Bayside - Little Neck","UHF42","2015-01-01","0.9"
"Boiler Emissions- Total SO2 Emissions","Pelham - Throgs Neck","UHF42","2015-01-01","2.8"
"Boiler Emissions- Total SO2 Emissions","Washington Heights","UHF42","2015-01-01","32"
"Boiler Emissions- Total SO2 Emissions","Stapleton - St. George","UHF42","2015-01-01","0.2"
"Boiler Emissions- Total SO2 Emissions","Bronx","Borough","2013-01-01","10.3"
"Boiler Emissions- Total SO2 Emissions","Union Square - Lower East Side","UHF42","2013-01-01","24.9"
"Boiler Emissions- Total SO2 Emissions","Chelsea - Clinton","UHF42","2013-01-01","67.4"
"Boiler Emissions- Total SO2 Emissions","Bedford Stuyvesant - Crown Heights","UHF42","2013-01-01","0.9"
"Boiler Emissions- Total SO2 Emissions","Greenpoint","UHF42","2015-01-01","0.3"
"Boiler Emissions- Total SO2 Emissions","Port Richmond","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Ridgewood - Forest Hills","UHF42","2015-01-01","1.3"
"Boiler Emissions- Total SO2 Emissions","Staten Island","Borough","2015-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Upper West Side","UHF42","2015-01-01","50.9"
"Boiler Emissions- Total SO2 Emissions","East New York","UHF42","2015-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Coney Island - Sheepshead Bay","UHF42","2015-01-01","0.7"
"Boiler Emissions- Total SO2 Emissions","Queens","Borough","2013-01-01","2.2"
"Boiler Emissions- Total SO2 Emissions","Queens","Borough","2015-01-01","1.4"
"Boiler Emissions- Total SO2 Emissions","West Queens","UHF42","2013-01-01","2.3"
"Boiler Emissions- Total SO2 Emissions","Lower Manhattan","UHF42","2013-01-01","13.7"
"Boiler Emissions- Total SO2 Emissions","South Beach - Tottenville","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Bayside - Little Neck","UHF42","2013-01-01","1.6"
"Boiler Emissions- Total SO2 Emissions","Borough Park","UHF42","2013-01-01","1.5"
"Boiler Emissions- Total SO2 Emissions","Willowbrook","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Port Richmond","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Greenpoint","UHF42","2013-01-01","0.4"
"Boiler Emissions- Total SO2 Emissions","Williamsburg - Bushwick","UHF42","2013-01-01","0.3"
"Boiler Emissions- Total SO2 Emissions","Hunts Point - Mott Haven","UHF42","2013-01-01","3.3"
"Boiler Emissions- Total SO2 Emissions","Jamaica","UHF42","2013-01-01","0.5"
"Boiler Emissions- Total SO2 Emissions","Gramercy Park - Murray Hill","UHF42","2015-01-01","41.5"
"Boiler Emissions- Total SO2 Emissions","Staten Island","Borough","2013-01-01","0.1"
"Boiler Emissions- Total SO2 Emissions","Downtown - Heights - Slope","UHF42","2013-01-01","0.8"
"Boiler Emissions- Total SO2 Emissions","Pelham - Throgs Neck","UHF42","2013-01-01","4.4"
"Boiler Emissions- Total SO2 Emissions","Long Island City - Astoria","UHF42","2013-01-01","6.7"
"Boiler Emissions- Total SO2 Emissions","New York City","Citywide","2013-01-01","6.1"
"Boiler Emissions- Total SO2 Emissions","Southeast Queens","UHF42","2013-01-01","0.3"
"Boiler Emissions- Total SO2 Emissions","Canarsie - Flatlands","UHF42","2013-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Fresh Meadows","UHF42","2013-01-01","4.3"
"Boiler Emissions- Total SO2 Emissions","Stapleton - St. George","UHF42","2013-01-01","0.4"
"Boiler Emissions- Total SO2 Emissions","Flushing - Clearview","UHF42","2013-01-01","5.1"
"Boiler Emissions- Total SO2 Emissions","Ridgewood - Forest Hills","UHF42","2013-01-01","2.7"
"Boiler Emissions- Total SO2 Emissions","New York City","Citywide","2015-01-01","3.5"
"Boiler Emissions- Total SO2 Emissions","Long Island City - Astoria","UHF42","2015-01-01","5"
"Boiler Emissions- Total SO2 Emissions","Rockaways","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","West Queens","UHF42","2015-01-01","1.1"
"Boiler Emissions- Total SO2 Emissions","East Harlem","UHF42","2015-01-01","4.8"
"Boiler Emissions- Total SO2 Emissions","Willowbrook","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","South Beach - Tottenville","UHF42","2015-01-01","0"
"Boiler Emissions- Total SO2 Emissions","Southwest Queens","UHF42","2013-01-01","0.8"
"Boiler Emissions- Total SO2 Emissions","Jamaica","UHF42","2015-01-01","0.4"
